name,population,timezone,federal_subject,federal_district
Ust’-Labinsk,44088,Europe/Moscow,,
Myski,44082,Asia/Novokuznetsk,,
Usinsk,44078,Europe/Moscow,,
Rtishchevo,44013,Europe/Saratov,,
Alapayevsk,44000,Asia/Yekaterinburg,,
Kachkanar,43983,Asia/Yekaterinburg,,
Sayansk,43949,Asia/Irkutsk,,
Tutayev,43828,Europe/Moscow,,
Pashkovskiy,43634,Europe/Moscow,,
Sertolovo,43622,Europe/Moscow,Leningrad Oblast,Northwest
Malgobek,43400,Europe/Moscow,,
Morshansk,43311,Europe/Moscow,,
Sovetsk,43309,Europe/Kaliningrad,,
Mariinsk,43122,Asia/Novokuznetsk,,
Krasnoufimsk,43121,Asia/Yekaterinburg,,
Kronstadt,43005,Europe/Moscow,,
Novodvinsk,42900,Europe/Moscow,,
Zavolzh’ye,42900,Europe/Moscow,,
Sharypovo,42773,Asia/Krasnoyarsk,,
Koryazhma,42627,Europe/Moscow,,
Novozybkov,42571,Europe/Moscow,,
Lomonosov,42505,Europe/Moscow,,
Partizansk,42489,Asia/Vladivostok,,
Konakovo,42239,Europe/Moscow,,
Alatyr’,42156,Europe/Moscow,,
Izberbash,42121,Europe/Moscow,Republic of Dagestan,North Caucasus
Zainsk,42044,Europe/Moscow,,
Lesozavodsk,41778,Asia/Vladivostok,,
Korenovsk,41665,Europe/Moscow,,
Irbit,41647,Asia/Yekaterinburg,,
Uryupinsk,41644,Europe/Volgograd,,
Kyshtym,41625,Asia/Yekaterinburg,,
Gay,41619,Asia/Yekaterinburg,,
Pyt-Yakh,41500,Asia/Yekaterinburg,,
Urus-Martan,41480,Europe/Moscow,Chechen Republic,North Caucasus
Lyudinovo,41392,Europe/Moscow,,
Pugachev,41375,Europe/Saratov,,
Zelenokumsk,41306,Europe/Moscow,,
Dzerzhinskiy,41146,Europe/Moscow,,
Birsk,41014,Asia/Yekaterinburg,,
Frolovo,40882,Europe/Volgograd,,
Mozdok,40823,Europe/Moscow,,
Yelizovo,40692,Asia/Kamchatka,,
Apsheronsk,40451,Europe/Moscow,,
Mirny,40308,Asia/Yakutsk,,
Pereslavl’-Zalesskiy,40283,Europe/Moscow,,
Tosno,40198,Europe/Moscow,,
Luga,40114,Europe/Moscow,,
Kashira,40084,Europe/Moscow,,
Korkino,40046,Asia/Yekaterinburg,,
Langepas,40000,Asia/Yekaterinburg,,
Yagry,40000,Europe/Moscow,,
Kolomyagi,39945,Europe/Moscow,,
Uray,39878,Asia/Yekaterinburg,,
Svetlograd,39727,Europe/Moscow,,
Vyatskiye Polyany,39534,Europe/Kirov,,
Tavda,39480,Asia/Yekaterinburg,,
Sampsonievskiy,39318,Europe/Moscow,,
Vyazniki,39243,Europe/Moscow,,
Yuzhnoural’sk,39200,Asia/Yekaterinburg,,
Muravlenko,39137,Asia/Yekaterinburg,,
Vichuga,39071,Europe/Moscow,,
Izobil’nyy,39022,Europe/Moscow,,
Aksay,38871,Europe/Moscow,,
Nizhneudinsk,38723,Asia/Irkutsk,,
Leningradskaya,38712,Europe/Moscow,,
Millerovo,38527,Europe/Moscow,,
Kandalaksha,38431,Europe/Moscow,,
Dalnegorsk,38424,Asia/Vladivostok,,
Furmanov,38380,Europe/Moscow,,
Lyantor,38200,Asia/Yekaterinburg,,
Bol’shoy Kamen’,38100,Asia/Vladivostok,,
Uchaly,37788,Asia/Yekaterinburg,,
Tayshet,37766,Asia/Irkutsk,,
Uglich,37732,Europe/Moscow,,
Kulebaki,37622,Europe/Moscow,,
Baksan,37519,Europe/Moscow,,
Rezh,37420,Asia/Yekaterinburg,,
Novovoronezh,37392,Europe/Moscow,,
Tynda,37335,Asia/Yakutsk,,
Protvino,37329,Europe/Moscow,,
Sestroretsk,37248,Europe/Moscow,,
Rostokino,37000,Europe/Moscow,,
Bogorodsk,36652,Europe/Moscow,,
Serdobsk,36652,Europe/Moscow,,
Temryuk,36546,Europe/Moscow,,
Novokubansk,36401,Europe/Moscow,,
Sukhoy Log,36329,Asia/Yekaterinburg,,
Slantsy,36209,Europe/Moscow,,
Teykovo,36015,Europe/Moscow,,
Blagodarnyy,35995,Europe/Moscow,,
Chernushka,35942,Asia/Yekaterinburg,,
Yalutorovsk,35892,Asia/Yekaterinburg,,
Valuyki,35887,Europe/Moscow,,
Beslan,35604,Europe/Moscow,,
Kasimov,35355,Europe/Moscow,,
Shumerlya,35220,Europe/Moscow,,
Korsakov,35091,Asia/Sakhalin,,
Goryachevodskiy,35075,Europe/Moscow,,
Staraya Derevnya,35000,Europe/Moscow,,
Gul’kevichi,34953,Europe/Moscow,,
Abinsk,34668,Europe/Moscow,,
Dinskaya,34573,Europe/Moscow,,
Baltiysk,34540,Europe/Kaliningrad,,
Karabulak,34511,Europe/Moscow,,
Trëkhgornyy,34500,Asia/Yekaterinburg,,
Nurlat,34451,Europe/Moscow,,
Ostrogozhsk,34403,Europe/Moscow,,
Kondopoga,34360,Europe/Moscow,,
Kinel’,34336,Europe/Samara,,
Staraya Russa,34303,Europe/Moscow,,
Slavgorod,34141,Asia/Barnaul,,
Kushva,34058,Asia/Yekaterinburg,,
Ust’-Dzheguta,34001,Europe/Moscow,,
Krasnoznamensk,33700,Europe/Moscow,,
Artëmovskiy,33700,Asia/Yekaterinburg,,
Petrovsk,33622,Europe/Saratov,,
Severoural’sk,33500,Asia/Yekaterinburg,,
Yablonovskiy,33431,Europe/Moscow,,
Kizilyurt,33411,Europe/Moscow,,
Istra,33390,Europe/Moscow,,
Nartkala,33390,Europe/Moscow,,
Segezha,33354,Europe/Moscow,,
Zima,33323,Asia/Irkutsk,,
Dobryanka,33291,Asia/Yekaterinburg,,
Verkhniy Ufaley,33245,Asia/Yekaterinburg,,
Dyat’kovo,33200,Europe/Moscow,,
Primorsko-Akhtarsk,33102,Europe/Moscow,,
Kotovsk,33077,Europe/Moscow,,
Asha,33006,Asia/Yekaterinburg,,
Marks,32929,Europe/Saratov,,
Gudermes,32769,Europe/Moscow,Chechen Republic,North Caucasus
Kholmsk,32681,Asia/Sakhalin,,
Maloyaroslavets,32669,Europe/Moscow,,
Velikiy Ustyug,32642,Europe/Moscow,,
Yubileyny,32508,Europe/Moscow,,
Desnogorsk,32451,Europe/Moscow,,
Lukhovitsy,32387,Europe/Moscow,,
Udomlya,32373,Europe/Moscow,,
Slobodskoy,32361,Europe/Kirov,,
Bogdanovich,32270,Asia/Yekaterinburg,,
Donskoy,31968,Europe/Moscow,Tula Oblast,Central
Kimovsk,31947,Europe/Moscow,,
Znamensk,31922,Europe/Astrakhan,,
Privolzhskiy,31849,Europe/Saratov,,
Gorodets,31788,Europe/Moscow,,
Nakhabino,31715,Europe/Moscow,,
Sosnovoborsk,31632,Asia/Krasnoyarsk,,
Kudymkar,31596,Asia/Yekaterinburg,,
Mozhaysk,31557,Europe/Moscow,,
Barabinsk,31508,Asia/Novosibirsk,,
Pavlovskaya,31133,Europe/Moscow,,
Likino-Dulevo,31100,Europe/Moscow,,
Dyurtyuli,31087,Asia/Yekaterinburg,,
Rostov,31039,Europe/Moscow,,
Yugorsk,30878,Asia/Yekaterinburg,,
Sorochinsk,30731,Asia/Yekaterinburg,,
Mednogorsk,30676,Asia/Yekaterinburg,,
Topki,30572,Asia/Novokuznetsk,,
Kirzhach,30566,Europe/Moscow,,
Starominskaya,30461,Europe/Moscow,,
Borzya,30421,Asia/Chita,,
Bogoroditsk,30216,Europe/Moscow,,
Kostomuksha,30135,Europe/Moscow,,
Karpinsk,30070,Asia/Yekaterinburg,,
Shatura,30069,Europe/Moscow,,
Divnogorsk,30018,Asia/Krasnoyarsk,,
Kuskovo,30000,Europe/Moscow,,
Mikhalkovo,30000,Europe/Moscow,,
Nikulino,30000,Europe/Moscow,,
Leonovo,30000,Europe/Moscow,,
Davydkovo,30000,Europe/Moscow,,
Petrovskaya,30000,Europe/Moscow,,
Zagor’ye,30000,Europe/Moscow,,
Kudrovo,30000,Europe/Moscow,,
Kur’yanovo,30000,Europe/Moscow,,
Vorob’yovo,30000,Europe/Moscow,,
Annino,30000,Europe/Moscow,,
Leninskiye Gory,30000,Europe/Moscow,,
Vostryakovo,30000,Europe/Moscow,,
Lazarevskoye,30000,Europe/Moscow,,
Matveyevskoye,30000,Europe/Moscow,,
Amin’yevo,30000,Europe/Moscow,,
Kolomenskoye,30000,Europe/Moscow,,
Luzhniki,30000,Europe/Moscow,,
Kushchyovskaya,29915,Europe/Moscow,,
Sasovo,29858,Europe/Moscow,,
Yemanzhelinsk,29849,Asia/Yekaterinburg,,
Shar’ya,29800,Europe/Moscow,,
Sovetskaya Gavan’,29740,Asia/Vladivostok,,
Kirovsk,29605,Europe/Moscow,,
Kapotnya,29594,Europe/Moscow,,
Sosnogorsk,29343,Europe/Moscow,,
Morozovsk,29289,Europe/Moscow,,
Zernograd,29268,Europe/Moscow,,
Ipatovo,29073,Europe/Moscow,,
Unecha,29028,Europe/Moscow,,
Krasnoarmeyskaya,29009,Europe/Moscow,,
Kokhma,28984,Europe/Moscow,,
Gagarin,28879,Europe/Moscow,,
Inozemtsevo,28779,Europe/Moscow,,
Uvarovo,28771,Europe/Moscow,,
Kuvandyk,28706,Asia/Yekaterinburg,,
Gusev,28690,Europe/Kaliningrad,,
Karasuk,28589,Asia/Novosibirsk,,
Buturlinovka,28581,Europe/Moscow,,
Isakogorka,28571,Europe/Moscow,,
Kartaly,28503,Asia/Yekaterinburg,,
Kochubeyevskoye,28491,Europe/Moscow,,
Zheleznogorsk-Ilimskiy,28456,Asia/Irkutsk,,
Tomilino,28310,Europe/Moscow,,
Pokhvistnevo,28300,Europe/Samara,,
Dalnerechensk,28300,Asia/Vladivostok,,
Bezhetsk,28114,Europe/Moscow,,
Argun,28100,Europe/Moscow,,
Poykovskiy,28080,Asia/Yekaterinburg,,
Goryachiy Klyuch,28078,Europe/Moscow,,
Shcherbinka,28065,Europe/Moscow,,
Polysayevo,28026,Asia/Novokuznetsk,,
Aleysk,28019,Asia/Barnaul,,
Kamyshlov,28006,Asia/Yekaterinburg,,
Aleksandrovskoye,28006,Europe/Moscow,,
Mirnyy,28000,Europe/Moscow,,
Yanaul,27963,Asia/Yekaterinburg,,
Kolpashevo,27876,Asia/Tomsk,,
Dagestanskiye Ogni,27835,Europe/Moscow,,
Neftekumsk,27716,Europe/Moscow,,
Rodniki,27681,Europe/Moscow,,
Novoaleksandrovsk,27610,Europe/Moscow,,
Kotel’nich,27600,Europe/Kirov,,
Atkarsk,27554,Europe/Saratov,,
Kalach-na-Donu,27522,Europe/Volgograd,,
Sol’-Iletsk,27419,Asia/Yekaterinburg,,
Kayyerkan,27295,Asia/Krasnoyarsk,,
Krasnoural’sk,27257,Asia/Yekaterinburg,,
Nikolayevsk-on-Amure,27152,Asia/Vladivostok,,
Asino,27070,Asia/Tomsk,,
Labytnangi,27067,Asia/Yekaterinburg,,
Dedovsk,27001,Europe/Moscow,,
Zarya,27000,Europe/Moscow,,
Zeya,26999,Asia/Yakutsk,,
Tara,26986,Asia/Omsk,,
Kotovo,26981,Europe/Volgograd,,
Gubakha,26605,Asia/Yekaterinburg,,
Pavlovsk,26565,Europe/Moscow,,
Okha,26560,Asia/Sakhalin,,
Buy,26486,Europe/Moscow,,
Metallostroy,26361,Europe/Moscow,,
Oktyabr’sk,26306,Europe/Samara,,
Semiluki,26257,Europe/Moscow,,
Kubinka,25942,Europe/Moscow,,
Kaltan,25903,Asia/Novokuznetsk,,
Nev’yansk,25900,Asia/Yekaterinburg,,
Ozëry,25900,Europe/Moscow,,
Krasnoarmeysk,25841,Europe/Saratov,,
Fokino,25827,Asia/Vladivostok,,
Severobaykal’sk,25800,Asia/Irkutsk,,
Zavodoukovsk,25682,Asia/Yekaterinburg,,
Ekazhevo,25549,Europe/Moscow,,
Kireyevsk,25513,Europe/Moscow,,
Omutninsk,25364,Europe/Kirov,,
Nerekhta,25352,Europe/Moscow,,
Nelidovo,25349,Europe/Moscow,,
Vilyuchinsk,25204,Asia/Kamchatka,,
Mostovskoy,25188,Europe/Moscow,,
Tatarsk,25150,Asia/Novosibirsk,,
Bologoye,25142,Europe/Moscow,,
Ust’-Katav,25046,Asia/Yekaterinburg,,
Volokolamsk,25000,Europe/Moscow,,
Shali,25000,Europe/Moscow,Chechen Republic,North Caucasus
Gur’yevsk,25000,Asia/Novokuznetsk,,
Zverevo,24978,Europe/Moscow,,
Zaraysk,24637,Europe/Moscow,,
Zheleznovodsk,24632,Europe/Moscow,,
Ostrov,24500,Europe/Moscow,,
Tbilisskaya,24446,Europe/Moscow,,
Aldan,24426,Asia/Yakutsk,,
Novopavlovsk,24408,Europe/Moscow,,
Skopin,24357,Europe/Moscow,,
Tayga,24328,Asia/Novokuznetsk,,
Semënov,24300,Europe/Moscow,,
Nikol’sk,24300,Europe/Moscow,,
Ob’,24238,Asia/Novosibirsk,,
Balabanovo,24232,Europe/Moscow,,
Gusinoozyorsk,24083,Asia/Irkutsk,,
Kalachinsk,24059,Asia/Omsk,,
Davlekanovo,23952,Asia/Yekaterinburg,,
Nizhniy Lomov,23835,Europe/Moscow,,
Troitskaya,23745,Europe/Moscow,,
Raychikhinsk,23745,Asia/Yakutsk,,
Bezenchuk,23736,Europe/Samara,,
Lensk,23694,Asia/Yakutsk,,
Sovetskiy,23685,Asia/Yekaterinburg,,
Yershov,23681,Europe/Saratov,,
Olenegorsk,23670,Europe/Moscow,,
Bogotol,23622,Asia/Krasnoyarsk,,
Dudinka,23619,Asia/Krasnoyarsk,,
Semikarakorsk,23583,Europe/Moscow,,
Lyskovo,23570,Europe/Moscow,,
L’govskiy,23500,Europe/Moscow,,
Kabanovo,23414,Europe/Moscow,,
Fedorovskiy,23375,Asia/Yekaterinburg,,
Lermontov,23369,Europe/Moscow,,
Osa,23292,Asia/Yekaterinburg,,
Vel’sk,23126,Europe/Moscow,,
Otradnaya,22985,Europe/Moscow,,
Bavly,22982,Europe/Moscow,,
Il’skiy,22970,Europe/Moscow,,
Lebedyan’,22970,Europe/Moscow,,
Mendeleyevsk,22969,Europe/Moscow,,
Dankov,22913,Europe/Moscow,,
Severskaya,22849,Europe/Moscow,,
Tashtagol,22779,Asia/Novokuznetsk,,
Koz’modem’yansk,22700,Europe/Moscow,,
Onega,22693,Europe/Moscow,,
Kirovgrad,22685,Asia/Yekaterinburg,,
Novotitarovskaya,22630,Europe/Moscow,,
Nizhnyaya Tura,22600,Asia/Yekaterinburg,,
Gorelovo,22503,Europe/Moscow,,
Vikhorevka,22500,Asia/Irkutsk,,
Vereshchagino,22451,Asia/Yekaterinburg,,
Shakhun’ya,22400,Europe/Moscow,,
Sergach,22361,Europe/Moscow,,
Bryukhovetskaya,22309,Europe/Moscow,,
Nyandoma,22179,Europe/Moscow,,
Novaya Usman’,22165,Europe/Moscow,,
Lodeynoye Pole,22164,Europe/Moscow,,
Svetlyy,22119,Europe/Kaliningrad,,
Losino-Petrovskiy,22116,Europe/Moscow,,
Staraya Kupavna,22099,Europe/Moscow,,
Pikalëvo,22072,Europe/Moscow,,
Ryazhsk,22041,Europe/Moscow,,
Igra,22033,Europe/Samara,,
Chishmy,22000,Asia/Yekaterinburg,,
Roshal’,21951,Europe/Moscow,,
Sysert’,21942,Asia/Yekaterinburg,,
Toguchin,21886,Asia/Novosibirsk,,
Luchegorsk,21833,Asia/Vladivostok,,
Linëvo,21816,Asia/Novosibirsk,,
Kizel,21807,Asia/Yekaterinburg,,
Bakal,21762,Asia/Yekaterinburg,,
Khadyzhensk,21685,Europe/Moscow,,
Shimanovsk,21466,Asia/Yakutsk,,
Kovylkino,21400,Europe/Moscow,,
Otradnoye,21397,Europe/Moscow,,
Sheksna,21197,Europe/Moscow,,
Yarovoye,21195,Asia/Barnaul,,
Abdulino,21195,Asia/Yekaterinburg,,
Terek,21180,Europe/Moscow,,
Zelenchukskaya,21117,Europe/Moscow,,
Suvorov,21059,Europe/Moscow,,
Novyy Oskol,21035,Europe/Moscow,,
Dugulubgey,20965,Europe/Moscow,,
Berëzovka,20913,Asia/Krasnoyarsk,,
Kurchaloy,20903,Europe/Moscow,,
Khot'kovo,20872,Europe/Moscow,,
Priyutovo,20847,Asia/Yekaterinburg,,
Novomichurinsk,20821,Europe/Moscow,,
Sortavala,20760,Europe/Moscow,,
Elektrogorsk,20724,Europe/Moscow,,
Surovikino,20677,Europe/Volgograd,,
Bobrov,20587,Europe/Moscow,,
Nytva,20525,Asia/Yekaterinburg,,
Chernogolovka,20483,Europe/Moscow,,
Gubkinskiy,20463,Asia/Yekaterinburg,,
Sobinka,20458,Europe/Moscow,,
Kalach,20449,Europe/Moscow,,
Buinsk,20266,Europe/Moscow,,
Karachayevsk,20264,Europe/Moscow,,
Sredneuralsk,20169,Asia/Yekaterinburg,,
Cherepanovo,20125,Asia/Novosibirsk,,
Tyrnyauz,20104,Europe/Moscow,,
Beloyarskiy,20087,Asia/Yekaterinburg,,
Pushchino,20072,Europe/Moscow,,
Rayevskiy,20060,Asia/Yekaterinburg,,
Vnukovo,20000,Europe/Moscow,,
Krestovskiy ostrov,20000,Europe/Moscow,,
Setun’,20000,Europe/Moscow,,
Bol’shaya Setun’,20000,Europe/Moscow,,
Zavety Il’icha,20000,Europe/Moscow,,
Elektrougli,20000,Europe/Moscow,,
Dagomys,20000,Europe/Moscow,,
Kastanayevo,20000,Europe/Moscow,,
Novaya Derevnya,20000,Europe/Moscow,,
Slobodka,20000,Europe/Moscow,,
Andreyevskoye,20000,Europe/Moscow,,
Vrangel’,20000,Asia/Vladivostok,,
Khosta,20000,Europe/Moscow,,
Rublëvo,20000,Europe/Moscow,,
Yessentukskaya,19956,Europe/Moscow,,
Yeniseysk,19920,Asia/Krasnoyarsk,,
Usman’,19910,Europe/Moscow,,
Yur’yev-Pol’skiy,19906,Europe/Moscow,,
Monino,19852,Europe/Moscow,,
Kusa,19818,Asia/Yekaterinburg,,
Karachev,19757,Europe/Moscow,,
Inza,19737,Europe/Ulyanovsk,,
Petrovsk-Zabaykal’skiy,19713,Asia/Chita,,
Zhukovka,19690,Europe/Moscow,,
Alagir,19665,Europe/Moscow,,
Bikin,19659,Asia/Vladivostok,,
Kotel’nikovo,19622,Europe/Volgograd,,
Borodino,19602,Asia/Krasnoyarsk,,
Podporozh’ye,19600,Europe/Moscow,,
Ostashkov,19563,Europe/Moscow,,
Yaransk,19557,Europe/Kirov,,
Neftegorsk,19542,Europe/Samara,,
Kovdor,19518,Europe/Moscow,,
Yuzhnyy,19515,Asia/Barnaul,,
Gorodishche,19509,Europe/Volgograd,,
Kozel’sk,19500,Europe/Moscow,,
Proletarsk,19493,Europe/Moscow,,
Akhtyrskiy,19468,Europe/Moscow,,
Ivdel’,19379,Asia/Yekaterinburg,,
Novopokrovskaya,19342,Europe/Moscow,,
Katav-Ivanovsk,19339,Asia/Yekaterinburg,,
Orlovskiy,19325,Europe/Moscow,,
Yelizavetinskaya,19306,Europe/Moscow,,
Novoanninskiy,19231,Europe/Volgograd,,
Agidel’,19217,Asia/Yekaterinburg,,
Shchigry,19198,Europe/Moscow,,
Nesterovskaya,19186,Europe/Moscow,,
Kurovskoye,19173,Europe/Moscow,,
Rybnoye,19159,Europe/Moscow,,
Anna,19148,Europe/Moscow,,
Uva,19143,Europe/Samara,,
Talitsa,19100,Asia/Yekaterinburg,,
Vorgashor,18946,Europe/Moscow,,
Tal’menka,18900,Asia/Barnaul,,
Skhodnya,18897,Europe/Moscow,,
Konstantinovsk,18876,Europe/Moscow,,
Manturovo,18817,Europe/Moscow,,
Slyudyanka,18809,Asia/Irkutsk,,
Staroshcherbinovskaya,18785,Europe/Moscow,,
Shushenskoye,18770,Asia/Krasnoyarsk,,
Vyselki,18746,Europe/Moscow,,
Kalininsk,18685,Europe/Saratov,,
Bronnitsy,18645,Europe/Moscow,,
Stroitel’,18636,Europe/Moscow,,
Vanino,18618,Asia/Vladivostok,,
Agryz,18601,Europe/Moscow,,
Galich,18594,Europe/Moscow,,
Tarko-Sale,18568,Asia/Yekaterinburg,,
Turinsk,18555,Asia/Yekaterinburg,,
Valday,18549,Europe/Moscow,,
Barysh,18547,Europe/Ulyanovsk,,
Starodub,18539,Europe/Moscow,,
Shumikha,18499,Asia/Yekaterinburg,,
Trudovoye,18484,Asia/Vladivostok,,
Kyakhta,18431,Asia/Irkutsk,,
Chegem,18429,Europe/Moscow,,
Nezlobnaya,18412,Europe/Moscow,,
Malakhovka,18399,Europe/Moscow,,
Kinel’-Cherkassy,18393,Europe/Samara,,
Avtury,18370,Europe/Moscow,,
Ardon,18313,Europe/Moscow,,
Kotel’niki,18300,Europe/Moscow,,
Priozërsk,18300,Europe/Moscow,,
Beloozyorskiy,18297,Europe/Moscow,,
Kharabali,18223,Europe/Astrakhan,,
Afipskiy,18209,Europe/Moscow,,
Krasnovishersk,18185,Asia/Yekaterinburg,,
Sel’tso,18167,Europe/Moscow,,
Abaza,18094,Asia/Krasnoyarsk,,
Nar'yan-Mar,18041,Europe/Moscow,,
Yasnogorsk,18022,Europe/Moscow,,
Povorino,18004,Europe/Moscow,,
Izluchinsk,18000,Asia/Yekaterinburg,,
Belaya Glina,17997,Europe/Moscow,,
Yegorlykskaya,17978,Europe/Moscow,,
Kirsanov,17975,Europe/Moscow,,
Kurtamysh,17936,Asia/Yekaterinburg,,
Kasli,17911,Asia/Yekaterinburg,,
Zhirnovsk,17887,Europe/Volgograd,,
Privolzhsk,17864,Europe/Moscow,,
Kosaya Gora,17836,Europe/Moscow,,
Nevel’,17832,Europe/Moscow,,
Raduzhnyy,17811,Europe/Moscow,,
Zapolyarnyy,17789,Europe/Moscow,,
Aprelevka,17780,Europe/Moscow,,
Markova,17756,Asia/Irkutsk,,
Kedrovka,17752,Asia/Novokuznetsk,,
Bolotnoye,17704,Asia/Novosibirsk,,
Volgorechensk,17700,Europe/Moscow,,
Zimovniki,17678,Europe/Moscow,,
Reftinskiy,17673,Asia/Yekaterinburg,,
Enem,17665,Europe/Moscow,,
Svobody,17661,Europe/Moscow,,
Aginskoye,17496,Asia/Chita,,
Kholmskiy,17494,Europe/Moscow,,
Baymak,17493,Asia/Yekaterinburg,,
Nizhnyaya Salda,17473,Asia/Yekaterinburg,,
Saraktash,17413,Asia/Yekaterinburg,,
Chudovo,17377,Europe/Moscow,,
Boksitogorsk,17366,Europe/Moscow,,
Kantyshevo,17363,Europe/Moscow,,
Yasnyy,17359,Asia/Yekaterinburg,,
Kommunar,17358,Europe/Moscow,,
Gavrilov-Yam,17351,Europe/Moscow,,
Polyarnyy,17332,Europe/Moscow,,
Suvorovskaya,17261,Europe/Moscow,,
Arsk,17243,Europe/Moscow,,
Gribanovskiy,17220,Europe/Moscow,,
Promyshlennaya,17216,Asia/Novokuznetsk,,
Pallasovka,17139,Europe/Volgograd,,
Novoul’yanovsk,17139,Europe/Ulyanovsk,,
Pokachi,17084,Asia/Yekaterinburg,,
Plast,17050,Asia/Yekaterinburg,,
Ryl’sk,17007,Europe/Moscow,,
Kudepsta,17000,Europe/Moscow,,
Nevel’sk,17000,Asia/Sakhalin,,
Kavalerovo,16945,Asia/Vladivostok,,
Medvedovskaya,16941,Europe/Moscow,,
Novouzensk,16932,Europe/Saratov,,
Pridonskoy,16896,Europe/Moscow,,
Krasnoobsk,16894,Asia/Novosibirsk,,
Menzelinsk,16858,Europe/Moscow,,
Tuchkovo,16826,Europe/Moscow,,
Danilov,16808,Europe/Moscow,,
Vasil’yevo,16800,Europe/Moscow,,
Kukmor,16795,Europe/Moscow,,
Achkhoy-Martan,16779,Europe/Moscow,,
Plavsk,16763,Europe/Moscow,,
Lakinsk,16706,Europe/Moscow,,
Poronaysk,16677,Asia/Sakhalin,,
Ilanskiy,16668,Asia/Krasnoyarsk,,
Balezino,16618,Europe/Samara,,
Kashin,16598,Europe/Moscow,,
Severo-Zadonsk,16569,Europe/Moscow,,
Medvezh’yegorsk,16551,Europe/Moscow,,
Kochenëvo,16446,Asia/Novosibirsk,,
Medvedevo,16407,Europe/Moscow,,
Yemva,16404,Europe/Moscow,,
Zvenigorod,16395,Europe/Moscow,,
Kupino,16333,Asia/Novosibirsk,,
Surkhakhi,16215,Europe/Moscow,,
Chunskiy,16199,Asia/Irkutsk,,
Kamyzyak,16191,Europe/Astrakhan,,
Krasnogvardeyskoye,16169,Europe/Moscow,,
Shilovo,16159,Europe/Moscow,,
Gryazovets,16133,Europe/Moscow,,
Trubchevsk,16100,Europe/Moscow,,
Sukhinichi,16100,Europe/Moscow,,
Belidzhi,16078,Europe/Moscow,,
Golitsyno,16056,Europe/Moscow,,
Nikolayevsk,16044,Europe/Volgograd,,
Zherdevka,16019,Europe/Moscow,,
Tsotsin-Yurt,15970,Europe/Moscow,,
Bodaybo,15933,Asia/Irkutsk,,
Pestovo,15910,Europe/Moscow,,
Melenki,15902,Europe/Moscow,,
Pokrov,15867,Europe/Moscow,,
Petushki,15866,Europe/Moscow,,
Mezgor'e,15861,Asia/Yekaterinburg,,
Arzgir,15838,Europe/Moscow,,
Svetogorsk,15733,Europe/Moscow,,
Persianovka,15730,Europe/Moscow,,
Divnoye,15700,Europe/Moscow,,
Venëv,15700,Europe/Moscow,,
Kodinsk,15670,Asia/Krasnoyarsk,,
Gornyak,15668,Asia/Barnaul,,
Zelenogradsk,15644,Europe/Kaliningrad,,
Uzhur,15637,Asia/Krasnoyarsk,,
Sim,15632,Asia/Yekaterinburg,,
Karabash,15630,Asia/Yekaterinburg,,
Kataysk,15619,Asia/Yekaterinburg,,
Karabanovo,15615,Europe/Moscow,,
Anadyr,15604,Asia/Anadyr,,
Baykal’sk,15600,Asia/Irkutsk,,
Nikel,15596,Europe/Moscow,,
Razumnoye,15529,Europe/Moscow,,
Shushary,15503,Europe/Moscow,,
Aleksandrovsk,15486,Asia/Yekaterinburg,,
Strunino,15483,Europe/Moscow,,
Donskoye,15469,Europe/Moscow,,
Moskovskiy,15435,Europe/Moscow,,
Mayma,15428,Asia/Barnaul,,
Borovskiy,15406,Asia/Yekaterinburg,,
Ochër,15395,Asia/Yekaterinburg,,
Suzun,15365,Asia/Novosibirsk,,
Nerchinsk,15360,Asia/Chita,,
Kulunda,15345,Asia/Barnaul,,
Tsimlyansk,15341,Europe/Moscow,,
Bagayevskaya,15300,Europe/Moscow,,
Belëv,15300,Europe/Moscow,,
Degtyarsk,15294,Asia/Yekaterinburg,,
Aykhal,15267,Asia/Yakutsk,,
Udachny,15266,Asia/Yakutsk,,
Sofrino,15265,Europe/Moscow,,
Chernyanka,15261,Europe/Moscow,,
Vyazemskiy,15247,Asia/Vladivostok,,
Novosilikatnyy,15241,Asia/Barnaul,,
Aramil,15237,Asia/Yekaterinburg,,
Dubovka,15217,Europe/Volgograd,,
Nizhnesortymskiy,15204,Asia/Yekaterinburg,,
Yashkino,15197,Asia/Novokuznetsk,,
Yelan’,15181,Europe/Volgograd,,
Giaginskaya,15169,Europe/Moscow,,
Leninsk,15167,Europe/Volgograd,,
Uchkeken,15118,Europe/Moscow,,
Pochep,15100,Europe/Moscow,,
Polyarnyye Zori,15092,Europe/Moscow,,
Boguchar,15048,Europe/Moscow,,
Peresvet,15000,Europe/Moscow,,
Krasnyy Kut,14956,Europe/Saratov,,
Ladozhskaya,14904,Europe/Moscow,,
Zavodskoy,14865,Asia/Vladivostok,,
Chegdomyn,14855,Asia/Vladivostok,,
Petrov Val,14853,Europe/Volgograd,,
Navashino,14830,Europe/Moscow,,
Pervomaysk,14810,Europe/Moscow,,
Dzhalil’,14797,Europe/Moscow,,
Bachi-Yurt,14788,Europe/Moscow,,
Belokurikha,14733,Asia/Barnaul,,
Svirsk,14717,Asia/Irkutsk,,
Ust’-Abakan,14696,Asia/Krasnoyarsk,,
Chaltyr,14689,Europe/Moscow,,
